ax,ay,az
-3488,2860,15748
-3852,2728,16000
-5812,1788,16524
-6296,2040,15608
-6992,2464,14492
-8604,2172,13424
-10336,2508,13380
-10772,2784,13204
-11352,2780,11792
-12416,2652,12296
-13072,3304,10136
-13184,3392,9208
-14228,3464,8660
-15012,3272,8424
-14608,3572,8672
-13692,3908,9420
-12636,4072,9832
-10964,4052,11384
-10272,3820,13964
-9028,3156,12892
-7268,3620,13568
-5248,3696,14968
-4024,3224,15244
-3296,2656,17092
-1640,2868,18336
-320,2788,17816
1808,3108,18928
1868,2024,16844
3576,1480,17216
3780,712,17204
4128,676,17144
4944,456,16212
5788,696,15752
6640,792,15356
8284,1676,15300
9468,1992,15200
11368,2932,11684
12180,2492,10412
13056,2548,9012
14312,3368,6844
15164,3328,5160
15240,3148,4504
16244,3080,2648
15628,2984,564
15680,2492,336
15808,2016,-2568
15760,2352,-1608
15588,3380,2960
16528,3244,3588
15716,3624,5476
13388,2140,8164
12124,1060,10176
10272,1008,11268
9328,1048,13372
7720,892,13628
4536,-976,14088
3152,-1464,15824
2132,-1264,18432
2084,308,17476
932,1568,17816
1048,3792,17020
-280,5056,16428
-2032,6064,16996
-1436,9060,15460
-2372,9076,14276
-2384,9736,14480
-688,11048,13048
820,11076,11824
2316,11012,11460
4972,12076,9776
7088,12960,7328
7616,12740,6136
8032,12284,5836
8508,11812,3256
9040,12680,3224
10600,13652,2392
10568,12584,-1752
9848,12296,-1264
8680,14804,6976
7340,12148,9188
6488,12248,9300
4780,12356,12340
1908,11244,12520
-240,10664,12608
-2144,10244,13536
-4084,10148,13616
-5768,9592,13984
-7128,10276,12072
-7568,10952,11448
-8960,10136,11184
-7812,10792,11304
-6864,10928,13308
-5384,10332,13796
-600,11828,11296
1116,12796,11900
-160,9992,14684
3144,12368,11588
4608,12056,11804
5168,11328,9412
7124,11576,6796
9328,12300,5840
9748,12900,5784
10968,12428,3024
10220,11940,1432
10268,12072,404
10644,11704,-1488
10892,11604,-4136
11156,11536,-3080
10132,11020,-2532
10128,11200,1688
9412,11480,6816
9080,10988,10504
7844,10392,11272
6600,9908,11800
5864,9328,11728
2528,7864,15384
1712,9044,16872
1560,8884,15780
1444,7096,15580
2488,6464,14704
3500,5316,17276
4224,3740,19100
3672,1804,18628
3260,-576,17292
2084,-3608,15468
3524,-4384,15900
3276,-5108,16652
2672,-8332,16432
1768,-9900,17068
5332,-8896,15044
5252,-8756,13828
7832,-8548,15468
9936,-8296,12776
12128,-7916,8928
12860,-7808,5808
12648,-7428,3312
