ax,ay,az
1100,-2076,16664
480,-2352,16696
632,-1936,16796
536,-1908,16876
864,-1352,17192
508,-1996,17256
704,-1696,17480
832,-1824,17212
500,-2304,16820
1212,-856,16208
1128,-840,17212
1080,-1408,16976
1216,-1392,16968
1336,-1348,16824
1156,-2004,16988
1524,-1684,16960
1056,-2276,17104
1324,-1580,17156
1072,-1860,17188
980,-1536,16776
544,-2656,17000
988,-1716,17172
532,-1768,16536
404,-1996,17464
572,-1544,16812
888,-1148,17156
416,-1588,17060
780,-1360,17552
1108,-1656,17528
1436,-1024,17128
1624,-888,16204
1380,-560,16548
1032,-920,17200
680,-1216,17100
1016,-1084,16596
1416,-964,16864
1660,-628,17028
1876,-868,16432
1452,-1140,17180
1428,-784,17004
1040,-788,17244
1596,-412,16504
-12,-1536,17772
776,-908,16808
464,-1224,16964
688,-1284,17292
2104,-108,16352
124,-1472,18312
348,-1232,17136
368,-1296,16656
856,-788,17104
612,-1288,17008
384,-1876,16388
-528,-3236,16416
-1296,-4980,16148
-1804,-6716,16200
-1936,-7888,15528
-2940,-10636,12652
-2248,-10288,12572
-2632,-11216,12388
-2964,-12688,10680
-2112,-11968,12152
-2528,-12416,8836
-2704,-11772,9860
-2564,-11740,10396
-2024,-10940,11560
-1304,-10180,12052
-1856,-9876,13312
-2688,-10076,13592
-2584,-7100,15824
-2532,-8100,16380
-780,-6588,15608
220,-4736,16488
-488,-5176,15256
-1056,-6240,15184
860,-2724,17892
1464,-1460,17188
1524,-2464,16988
2656,-952,16176
3868,-112,16712
6440,3720,16364
7344,3408,14864
9344,5884,12800
9908,5888,10712
11072,6536,11416
11436,6180,10232
10808,5736,10248
9756,5468,11724
8804,5068,12992
7268,2936,14716
6152,2572,15008
4952,1672,16136
3948,812,17248
3364,-196,16324
2396,-868,17040
1628,-1872,16932
1836,-1800,16588
2596,-1192,17984
1008,-2072,17180
1392,-2084,16340
1596,-1764,16940
2300,1800,17464
596,-4392,15880
1656,-2048,17660
708,-3452,16420
1444,-1416,17156
1516,-340,17244
1464,-960,17036
1264,-2184,17152
1280,-1788,17168
896,-2772,16328
1140,-2696,16636
1200,-2148,17604
2592,808,17536
960,-1532,17392
1448,-1600,17044
1544,-1752,16916
1456,-2228,17076
1644,-1844,16488
1764,-1708,16852
1704,-1940,16232
720,-1916,17624
1184,-2204,17328
1512,-1836,17388
1168,-1928,16936
584,-2208,17460
868,-2048,16812
