ax,ay,az
-148,408,17320
-348,404,17120
-428,152,17168
-320,208,17176
-336,324,17188
-596,136,17180
-288,100,17072
-360,312,17196
-384,228,17080
-320,176,17160
-368,164,17172
-240,276,17208
-372,204,17100
-324,260,17180
-348,148,17136
-312,320,17200
-308,320,17108
-248,400,17164
-200,444,17216
-264,244,17108
-396,188,16992
-280,204,17132
-328,248,17080
-196,380,17140
-252,380,16900
-284,480,17180
-312,396,17168
-336,252,17204
-288,352,17252
-168,284,17304
-328,360,17228
-156,188,17180
-192,304,17172
-344,180,17220
-332,148,17160
-368,244,17200
-308,344,17168
-220,228,16972
-196,340,17192
-92,216,17180
-76,272,17156
-200,268,17232
-184,392,17320
-164,300,17284
-436,172,17204
-420,84,16976
-228,204,17124
-124,420,17104
-260,368,17224
-288,268,17184
-392,192,17100
-352,244,17128
-360,264,17204
-284,160,17188
-264,268,17144
-180,296,17328
-432,232,17264
-368,176,17248
-316,156,17108
-328,160,17124
-384,248,17016
-296,168,17112
-332,284,17108
-292,72,17196
-224,152,17268
-324,80,17300
-296,68,17180
-240,144,17116
-476,184,17144
-140,180,17120
-232,244,17268
-236,140,17224
-328,108,17116
-332,280,17184
-276,292,17176
-124,308,17004
-332,172,17220
-460,120,17048
-256,136,17120
-364,200,17152
-348,260,17192
-380,216,17064
-412,180,17008
-340,240,17188
-448,272,17216
-384,152,17104
-368,232,17220
-248,248,17060
-276,312,17208
-472,192,17140
-288,176,17096
-392,164,16976
-380,164,17188
-348,200,17152
-308,180,17076
-252,112,17164
-284,276,17144
-208,308,17232
-452,204,17212
-464,-24,17048
-320,216,17140
-304,188,17160
-500,196,17088
-520,76,17052
-448,144,17176
-388,104,17136
-420,224,17140
-412,68,17048
-396,256,17036
-212,400,17348
-212,392,17176
-340,136,17220
-340,176,17104
-316,184,17168
-384,100,17108
-408,64,17048
-396,64,17072
-292,96,17052
-152,164,17016
-204,220,17088
-272,164,17208
-220,224,17236
-444,124,17068
-500,168,17140
-460,116,17092
-228,252,17188
-324,296,17228
-268,184,17108
-432,144,17120
-272,220,17172
-456,296,17128
-420,324,17128
-320,164,17188
-372,220,17160
-360,180,17144
-356,240,17144
-392,204,17152
-256,236,17140
-340,232,17188
-316,192,17192
-232,172,17080
-320,180,17200
-256,152,17176
-260,220,17176
-404,132,17116
-380,92,17128
-488,-8,17136
-276,68,17156
-228,104,17188
-328,100,17136
-284,116,17024
-368,148,17212
-300,260,17172
-340,256,17100
-324,160,17148
-232,268,17124
-224,344,17340
-216,260,17116
-408,260,17184
-376,152,17208
-260,168,17164
-308,204,17100
-352,232,17236
-284,168,17120
-248,144,17104
-72,160,17096
-200,236,17152
-492,-92,17156
-312,16,17160
-436,168,17056
-408,56,16996
-196,204,17288
-176,216,17228
-320,44,17112
-412,92,17236
-276,112,17264
-228,152,17152
-256,184,17224
-280,136,17188
-292,136,17084
-248,220,17116
-224,292,17080
-396,324,17172
-260,200,17108
-344,188,17108
-268,252,16996
-208,168,17088
-312,248,17216
-456,144,17140
-352,152,17180
-184,236,17108
-296,208,17100
-176,116,17072
-140,308,17108
-324,176,17176
-292,48,17152
-348,64,17204
-260,104,17144
